account_rewards,date
-9113.280784606934,2020-05-20
4433.247200012207,2020-05-21
24213.1748046875,2020-05-22
25606.923294067383,2020-05-26
-5.517265319824219,2020-05-27
2851.898712158203,2020-05-28
6191.090621948242,2020-05-29
11027.132926940918,2020-06-01
14220.594192504883,2020-06-02
-7005.157325744629,2020-06-03
41205.65731048584,2020-06-04
11871.41748046875,2020-06-05
-12640.472038269043,2020-06-08
-13933.92195892334,2020-06-09
-82091.69906616211,2020-06-10
16101.59846496582,2020-06-11
7168.677577972412,2020-06-12
18749.206218719482,2020-06-15
-4817.364074707031,2020-06-16
4212.745956420898,2020-06-17
-2177.783073425293,2020-06-18
-2315.4598541259766,2020-06-19
5582.313339233398,2020-06-22
-34108.23294067383,2020-06-23
19805.719680786133,2020-06-24
-29079.277912139893,2020-06-25
20372.797328948975,2020-06-26
13365.628135681152,2020-06-29
-3929.0787963867188,2020-06-30
8712.345527648926,2020-07-01
13765.454582214355,2020-07-02
-18013.83642578125,2020-07-06
5223.971794128418,2020-07-07
-25085.295921325684,2020-07-08
15960.95198059082,2020-07-09
4483.22371673584,2020-07-10
26663.240280151367,2020-07-13
4298.942649841309,2020-07-14
3847.61873626709,2020-07-15
690.2691421508789,2020-07-16
-5656.833908081055,2020-07-17
6053.390739440918,2020-07-20
11608.418907165527,2020-07-21
-8313.635932922363,2020-07-22
-5794.8547439575195,2020-07-23
1980.499412536621,2020-07-24
-7619.047264099121,2020-07-27
12669.184692382812,2020-07-28
-9476.143753051758,2020-07-29
-10537.545921325684,2020-07-30
3299.679542541504,2020-07-31
9091.340812683105,2020-08-03
18350.972831726074,2020-08-04
2894.8880462646484,2020-08-05
9349.087539672852,2020-08-06
13991.855628967285,2020-08-07
-1794.96484375,2020-08-10
11035.179321289062,2020-08-11
-1945.7665100097656,2020-08-12
352.3189239501953,2020-08-13
-5432.629196166992,2020-08-14
-3225.648292541504,2020-08-17
-6090.323188781738,2020-08-18
-232.43305206298828,2020-08-19
729.8405990600586,2020-08-20
11564.520240783691,2020-08-21
3517.191017150879,2020-08-24
-5384.548126220703,2020-08-25
9237.904655456543,2020-08-26
8150.269226074219,2020-08-27
-13296.845588684082,2020-08-28
-603.6755409240723,2020-08-31
27307.13674545288,2020-09-01
-25770.398666381836,2020-09-02
-9608.927894592285,2020-09-03
-22004.57213973999,2020-09-04
15823.362308502197,2020-09-08
-19666.368015289307,2020-09-09
6361.52201461792,2020-09-10
14919.514102935791,2020-09-11
-5567.50061416626,2020-09-14
6444.53169631958,2020-09-15
2665.376064300537,2020-09-16
-8203.806293487549,2020-09-17
-30366.970890045166,2020-09-18
3225.9852142333984,2020-09-21
-21283.2961769104,2020-09-22
2240.1248092651367,2020-09-23
12177.329875946045,2020-09-24
13848.72694015503,2020-09-25
-10612.490997314453,2020-09-28
12176.990531921387,2020-09-29
1026.931541442871,2020-09-30
-2749.354923248291,2020-10-01
19745.19567489624,2020-10-02
-8305.580528259277,2020-10-05
22097.74452972412,2020-10-06
13892.68132019043,2020-10-07
7605.066612243652,2020-10-08
5621.264019012451,2020-10-09
-11049.895561218262,2020-10-12
-9095.399700164795,2020-10-13
2718.363826751709,2020-10-14
8563.797046661377,2020-10-15
-18826.3982963562,2020-10-16
5267.329921722412,2020-10-19
6804.66873550415,2020-10-20
5202.670135498047,2020-10-21
5049.037601470947,2020-10-22
-28941.9487991333,2020-10-23
-15556.433624267578,2020-10-26
-36246.026374816895,2020-10-27
4198.813152313232,2020-10-28
-296.1933174133301,2020-10-29
23448.78342819214,2020-10-30
26264.410556793213,2020-11-02
14984.507396697998,2020-11-03
21007.38261795044,2020-11-04
-4520.174938201904,2020-11-05
30340.2430267334,2020-11-06
25181.832458496094,2020-11-09
-3469.541763305664,2020-11-10
-12801.777854919434,2020-11-11
